"id","name","abbreviation"
"1002","International Conference on Artificial Intelligence, Modelling and Simulation","A I M S"
"1003","International Conference on Application of Concurrency to System Design","ACSD"
"1004","IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies","AEECT"
"1005","IEEE Region 8 AFRICON","AFRICON"
"1006","NASA/ESA Conference on Adaptive Hardware and Systems","AHS"
"1007","ACS/IEEE International Conference on Computer Systems and Applications","AICCSA"
"1008","International Conference on Autonomous Infrastructure, Management and Security","AIMS"
"1009","IEEE Asia Pacific Conference on Circuits and Systems","APCCAS"
"1010","IEEE International Conference on Automation, Quality and Testing, Robotics","AQTR"
"1011","International Symposium on Applied Reconfigurable Computing","ARC"
"1012","International Conference on Architecture of Computing Systems","ARCS"
"1013","IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP"
"1014","Baltic Electronics Conference","BEC"
"1015","International Conference on Advances in Circuits, Electronics and Micro-electronics","CENICS"
"1016","IFAC Conference on Embedded Systems, Computer Intelligence and Telematics","CESCIT"
"1017","Workshop on Cryptographic Hardware and Embedded Systems","CHES"
"1018","International Conference on Integration of Artificial Intelligence and Operations Research","CPAIOR"
"1019","Workshop on Cryptography and Security in Computing Systems","CS2"
"1020","International Workshop on Interactions between Computer Science and Biology","CS2Bio"
"1021","International Conference on Computer Supported Education","CSEDU"
"1022","International Conference on Computer Science Education: Innovation and Technology","CSEIT"
"1023","International Conference on Communication Theory, Reliability, and Quality of Service","CTRQ"
"1024","International Workshop on Design, Modeling and Evaluation of Cyber Physical Systems","CyPhy"
"1025","Design and Analysis of Control Systems","DACS"
"1026","IEEE International Conference on Dependable, Autonomic and Secure Computing","DASC"
"1027","Conference on Design and Architectures for Signal and Image Processing","DASIP"
"1028","IEEE INTERNATIONAL WORKSHOP on DIGITAL AND ANALOG TEST AND DATA ANALYSIS","DATA"
"1029","Design, Analysis and Tools for Integrated Circuits and Systems","DATICS"
"1030","IEEE Dallas Circuits and Systems Conference","DCAS"
"1031","IFAC Workshop on Dependable Control of Discrete Systems","DCDS"
"1032","Conference on Design of Circuits and Integrated Systems","DCIS"
"1033","IEEE International Symposium on Electronic Design, Test &  Applications","DELTA"
"1034","International Conference on Dependability","DEPEND"
"1035","IFAC WORKSHOP ON DISCRETE-EVENT SYSTEM DESIGN","DESDes"
"1036","HiPEAC Workshop on Design for Reliability","DFR"
"1037","IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems","DFTS"
"1038","International conference on Design & Technology of Integrated Systems in nanoscale era ","DTIS"
"1039","Workshop on Design Automation for Understanding Hardware Designs","DUHDe"
"1040","European Association for Education in Electrical and Information Engineering Council Conference","EAEEIE"
"1041","IEEE International Conference on Engineering of Computer-Based Systems","ECBS"
"1042","European Conference on Circuit Theory and Design","ECCTD"
"1043","European Conference on Modelling and Simulation","ECMS"
"1044","Electronic Control, Measurement, Signals and their application to Mechatronics","ECMSM"
"1045","European Dependable Computing Conference","EDCC"
"1046","International Conference ELECTRONICS","ELECTRONIC"
"1047","Electronic System Level Synthesis Conference","ELSYN"
"1048","European Symposium on Computer Modeling and Simulation","EMS"
"1049","Embedded Systems Workshop","ESW"
"1050","Conference at Embedded Systems Week","ESWeek"
"1051","IEEE International Conference on Emerging Technologies & Factory Automation","ETFA"
"1052","IEEE Region 8  EUROCON Conference","EUROCON"
"1053","European Workshop on Dependable Computing","EWDC"
"1054","European Workshop on  Microelectronics Education","EWME"
"1055","Forum on specification & Design Languages","FDL"
"1056","Federated Conference on Computer Science and Information Systems","FedCSIS"
"1057","International Symposium on Formal Methods","FM"
"1058","International Workshop on Formal Methods for Industrial Critical Systems","FMICS"
"1059","FPGAworld Conference","FPGAworld"
"1060","International Conference on Field Programmable Logic and Applications","FPL"
"1061","Genetic and Evolutionary Computation Conference","GECCO"
"1062","International Conference on High Performance and Embedded Architectures and Compilers","HiPEAC"
"1063","High Performance Computing & Simulation Conference","HPCS"
"1064","International Conference on Human System Interactions","HSI"
"1065","International Carpathian Control Conference","ICCC"
"1066","International Conference on  Computer Engineering & Systems","ICCES"
"1067","NTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING","ICCMSE"
"1068","IEEE International Conference on Electronics, Circuits, and Systems","ICECS"
"1069","International Conference on IC Design and Technology","ICICDT"
"1070","International Conference on Information and Communication Technologies","ICICT"
"1071","International Conference on Informatics in Control, Automation and Robotics","ICINCO"
"1072","INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING","ICSEng"
"1073","International Conference on Signals and Electronic Systems","ICSES"
"1074","International Conference on Systems Science","ICSS"
"1075","IEEE International Design and Test Symposium","IDT"
"1076","IEEE 25-th CONVENTION OF ELECTRICAL AND ELECTRONICS ENGINEERS IN ISRAEL","IEEEI"
"1077","International Embedded Systems Symposium","IESS"
"1078","IEEE International Conference on Industrial Informatics","INDIN"
"1079","International Scientific Conference on Informatics","Informatic"
"1080","International Conference on Innovative Computing Technology","INTECH"
"1081","International Symposium on Architecting Critical Systems","ISARCS"
"1082","International Symposium on Computer Architecture","ISCA"
"1083","International Conferences on Intelligent Systems Design and Applications","ISDA"
"1084","International Symposium on Low Power Electronics and Design","ISLPED"
"1085","International Conference on Intelligent Systems, Modelling and Simulation","ISMS"
"1086"," International SoC Design Conference","ISOCC"
"1087","International SoC Design Conference","ISOCC "
"1088","International Test Synthesis Workshop","ITSW"
"1089","Latin-American Symposium on Dependable Computing","LADC"
"1090","Latin American Symposium on Circuits and Systems","LASCAS"
"1091","International Conference on Language and Automata Theory and Applications","LATA"
"1092","IEEE Latin-American Test Symposium","LATS"
"1093","IEEE Latin-American Test Workshop","LATW"
"1094","International Workshop on Impact of Low-Power design on Test and Reliability","LPonTR"
"1095","Workshop on Model Based Engineering for Embedded Systems","M-BED"
"1096","Mediterranean Conference on Embedded Computing","MECO"
"1097","IEEE Mediterranean Electrotechnical Conference","MELECON"
"1098","Annual Doctoral Workshop on Mathematical and  Engineering Methods in Computer Science","MEMICS"
"1099","ACM-IEEE International Conference on Formal Methods and  Models for Codesign","MEMOCODE"
"1100","Annual IEEE/ACM International Symposium on Microarchitecture","MICRO"
"1101","International Conference on Microelectronics, Devices and Materials","MIDEM"
"1102","International Conference Mixed Design of Integrated Circuits and Systems","MIXDES"
"1103","World Congress on Nature and Biologically Inspired Computing","NaBIC"
"1104","IEEE North Atlantic Test Workshop","NATW"
"1105","IEEE New Circuits and Systems Conference","NEWCAS"
"1106","ACM/IEEE International Symposium on Networks-on-Chip","NOCS"
"1107","Nordic Test Forum","NTF"
"1108","Počítačové architektury & diagnostika","PAD"
"1109","Designing with Uncertainty - Opportunities & Challenges","PAnDA"
"1110","International Workshop on Power and Timing Modeling, Optimization and Simulation","PATMOS"
"1111","Programmable Devices and Embedded Systems","PDeS"
"1112","Euromicro International Conference on Parallel, Distributed and network-based Processing","PDP"
"1113","Prague Embedded Systems Workshop","PESW"
"1114","International Conference on Application and Theory of Petri Nets and Concurrency","PETRI NETS"
"1115","Petri Nets","Petri Nets"
"1116","Petri Nets","PN"
"1117","POSTER","POSTER"
"1118","International Conference on Parallel Processing and Applied Mathematics","PPAM"
"1119","IEEE Pacific Rim International Symposium on Dependable Computing","PRDC"
"1120","IEEE Conference on Ph.D. Reseach in Microelectronics & Electronics","PRIME"
"1121","IEEE International Workshop on Reliability Aware System Design and Test","RASDAT"
"1122","Reconfigurable Architectures Workshop","RAW"
"1123","International Conference on ReConFigurable Computing and FPGA\'s ","ReConFig"
"1124","International Workshop on Reconfigurable and Communication-centric Systems-on-Chip ","ReCoSoC"
"1125","IEEE/IFIP International Symposium on Rapid System Prototyping","RSP"
"1126","International workshop on Security and Dependability for      Resource Constrained Embedded Systems","S&D4RCES"
"1127","International Conference on Computer Safety, Reliability and Security","SAFECOMP"
"1128","International Symposium on  Systems, Architectures,  MOdeling and  Simulation","SAMOS"
"1129","Symposium on Integrated Circuits and Systems Design","SBCCI"
"1130","Silicon Errors in Logic - System Effects","SELSE"
"1131","IEEE International Conference on Computational Technologies in Electrical and Electronics Engineerin","SIBIRCON"
"1132","IEEE Symposium on Industrial Embedded Systems","SIES"
"1133","Systems Informatics: Modelling and Simulation","SIMS"
"1134","IEEE Workshop on Signal Processing Systems","SIPS"
"1135","International Conference on Synthesis, Modeling, Analysis and Simulation Methods and Applications to","SMACD"
"1136","International Symposium on System-on-Chip","SoC"
"1137","IEEE SoC Conference","SOCC"
"1138","International Symposium on Stabilization, Safety, and Security of Distributed Systems","SSS"
"1139","International Symposium on Symbolic and Numeric Algorithms for Scientific Computing ","SYNASC"
"1140","Conference on Control and Fault-Tolerant Systems","SysTol"
"1141","ACM International Workshop on Timing Issues in the Specification and Synthesis of Digital Systems","TAU"
"1142","TRUDEVICE Workshop on Test and Fault Tolerance for Secure Devices","TFTSD"
"1143","Workshop on Trustworthy Manufacturing and Utilization of Secure Devices","TRUDEVICE"
"1144","International Conference on Mathematical/Analytical Modelling and Computer Simulation","UKSim"
"1145","9th Workshop on Dependability and Fault Tolerance ","VERFE"
"1146","Symposium on VLSI Circuits","VLSI"
"1147","International Symposium on VLSI Design, Automation & Test","VLSI-DAT"
"1148","IFIP/IEEE International Conference on Very Large Scale Integration","VLSI-SoC"
"1149","Workshop on Embedded Systems Security","WESS"
"1150","Workshop","Workshop"
"1151","HiPEAC Workshop on Reconfigurable Computing","WRC"
